addresses,balances
0xE88885308c7A4fCC1Efd9e333559d5fB14867551,58.45
0xeec8A590DD9d3c63E462781D198F461901A36582,58.45
0x646a6B9512aeF11825A3A88a3Deab6629f18AC58,116.89
0x82a49482Ce070291b7B3F2d38d5fc3581780A4BF,116.89
0x62061A0b1D86D367bB7ED5F1976aD66A1b0deEBC,116.89
0xc53a56131D16c9Bf33E3ee6Be29661b21668a80E,116.89
0xD832dd785e751b9FfA3aB93BE1DA6B5Ee7570253,87.67
0x1A38AAd98E560370757cd6a8cC8210ce015A1549,116.89
0x5500F8190bA14eF35c3F244Ec94aCC7C33643467,58.45
0x992fA1f4459042E59734C4e38BEc152Ff119eCdB,116.89
0x0e54c55bdd32CE7Cb87d39e9BB529cFe43bDF4d4,116.89
0x610FBFC5D91c0c4beCc480c15cC1Ff871a5Fd19e,29.22
0x8D3634c39045f6997f76e47723867B2F23EBF0fe,116.89
0x331cF43dDa2d97ee42bC28d5E1AD07e60D033958,116.89
0x76546Ba2454Dbb19dB1c04529839e5938FfDE8bD,116.89
0x64C5BE8DB95E38d56fb591CF50852D6FD2572b1c,87.67
0x89E3453C7d870f069f131E7D4a1206d7d9b395Bf,58.45
0xb46D4a979Ec0500Ae46795354F0f433796756d03,29.22
0xda6f4AcDF08eC28474C139cf3b58FCEc744F84a8,175.34
0x857259284Dbb61D7D38a2C83b856F039d7b1De66,116.89
0x0B534f1fB61418ea539cE0cF23598f5254bec409,116.89
0xf482bF5De41f14eB5332AC3eA2D9F00Cfda7dCc8,116.89
0x900A7b05cB1e3fBCD699F8dF9c9399ff9d1CbEd2,175.34
0x79bd7d5599b4c8483606c11c66599d2F04253D39,116.89
0xE1750E7519CE1F330bb907EA6796d58C51b695fC,58.45
0x6f963A31Acd13ee0dc366441F555393a47341b16,175.34
0xb6e25930102B2dC978ad70eB60D4214598830728,29.22
0x70ba620d21db09d3343879c0E24c3303F45A8f81,116.89
0x23869C7B1a2ec904BA44273Cc511eB0F4b977801,87.67
0x548A2e0144fd2D1e1b3039FDB973BF79502270e0,87.67
0xD2d8fff893a28601c15251C9019f427eF54410F6,87.67
0x2c9e21119751F4b2f2484810752CE57a138f7777,29.22
0x326456A5fb4162A6D7015FEBf2694faa8A64FC53,116.89
0xe633b21dc49e06C731600038e9d6D3bA25DcE622,29.22
0x0720244cc4922aB44E92616283a14dfa18Bd8c50,116.89
0x0f006af9944139Fb6206C4DC5Da37134E0b9f503,116.89
0x7a8dD5Dd82b223df872f1f5992475b50A79Dc537,87.67
0x9831DBD9172D96B4763ef3D435190A08970F356E,131.5
0x31a785F40dfCFfe1F3BB7550f76FBB4564e39bEF,175.34
0x9E2006c37ca27E4F61613887F32EEB4A9aEa27be,116.89
0x6840e8cEbE0B99Fd6c3CE09Cf77FB46E9F1e995D,175.34
